geonameid,name,lat,lon,region,department,population,settlement_morpheme,naming_language,religious_element,ethnonym,ethnonym_stem,split_ordinal,patronym,patronym_group,eco_term,eco_kind,name_reuse_count
2571742,Djida,13.59461,-16.37127,Fatick,Foundiougne,0,,,,,,,,,,,4
13554685,Djida,14.14479,-15.42325,Kaffrine,Kaffrine,0,,,,,,,,,,,4
2252264,Djidadji,12.54139,-15.43611,Sedhiou,Goudomp,0,,,,,,,,,,,1
11101623,Djidah thiaroye kao,14.76277,-17.38385,Dakar,Pikine,0,,,,,,,,,,,1
2252263,Djidje Kounda,13.75,-13.66667,Tambacounda,Tambacounda,0,kounda,Mandinka,,,,,,,,,1
2252261,Djifanga,13.16339,-16.19128,Ziguinchor,Bignona,0,,,,,,,,,,,1
2252260,Djifangor,12.56583,-16.22528,Ziguinchor,Ziguinchor,0,,,,,,,,,,,1
2252258,Djifine Téko,13.13333,-15.23333,Kolda,Medina Yoroufoula,0,,,,,,,,,,,1
2252259,Djifèr,13.93715,-16.76248,Fatick,Fatick,0,,,,,,,,,,,1
2252256,Djigane,13.93333,-15.36667,Kaffrine,Kaffrine,0,,,,,,,,,,,1
2252255,Djigirone,12.99417,-15.9675,Ziguinchor,Bignona,0,,,,,,,,,,,1
2252254,Djigné,15.01667,-16.83333,Thies,Tivaoune,0,,,,,,,,,,,1
2252253,Djigoyèr,13.13944,-16.14526,Ziguinchor,Bignona,0,,,,,,,,,,,1
2252250,Djiguinoume,12.67361,-16.19694,Ziguinchor,Bignona,0,,,,,,,,,,,1
2252249,Djiguipoum,12.73333,-16.05,Ziguinchor,Bignona,0,,,,,,,,,,,1
2252248,Djiguirone,13.10512,-16.24691,Ziguinchor,Bignona,0,,,,,,,,,,,1
2252247,Djihaba,12.67444,-15.51778,Sedhiou,Goudomp,0,,,,,,,,,,,1
2252246,Djiké,15.2743,-15.8754,Louga,Kebemer,0,,,,,,,,,,,1
2252244,Djilakh,14.5243,-16.88775,Thies,Mbour,0,,,,,,,,,,,2
2595466,Djilakh,14.62779,-17.10339,Thies,Mbour,0,,,,,,,,,,,2
2251247,Djilakoun,13.08559,-16.52058,Ziguinchor,Bignona,0,,,,,,,,,,,1
2252243,Djilakounda,13.15404,-16.25497,Ziguinchor,Bignona,0,kounda,Mandinka,,,,,,,,,1
2252241,Djilakoune,12.65444,-16.21361,Ziguinchor,Bignona,0,,,,,,,,,,,1
2252240,Djilakoune Boundao,12.65,-16.21667,Ziguinchor,Bignona,0,,,,,,,,,,,1
2252239,Djilanfalé,13.16374,-16.1418,Ziguinchor,Bignona,0,,,,,,,,,,,1
2252238,Djilas,14.24994,-16.63364,Fatick,Fatick,0,,,,,,,,,,,1
2252236,Djililo,12.45,-16.28333,Ziguinchor,Ziguinchor,0,,,,,,,,,,,1
2252235,Djilondine,12.91667,-16.26667,Ziguinchor,Bignona,0,,,,,,,,,,,1
2252234,Djilonguéa,12.8775,-15.98444,Ziguinchor,Bignona,0,,,,,,,,,,,1
2251243,Djilor,14.11607,-16.6573,Fatick,Fatick,0,,,,,,,,,,,2
2252233,Djilor,14.0576,-16.33434,Fatick,Foundiougne,0,,,,,,,,,,,2
2251246,Djilékhar,13.87349,-16.09718,Kaolack,Kaolack,0,,,,,,,,,,,1
2252231,Djimakakor,12.8175,-16.29194,Ziguinchor,Bignona,0,,,,,,,,,,,1
2252230,Djimandé,12.785,-16.39667,Ziguinchor,Bignona,0,,,,,,,,,,,1
2252229,Djimassar,12.55417,-15.72222,Sedhiou,Goudomp,0,,,,,,,,,,,1
2252228,Djimbana,12.50944,-15.70028,Sedhiou,Goudomp,0,,,,,,,,,,,1
2252226,Djimbé,14.61795,-12.1661,Tambacounda,Bakel,0,,,,,,,,,,,1
2593152,Djinak Bara,13.60111,-16.54889,,,0,,,,,,,,,,,1
2252224,Djinak Diatako,13.60188,-16.54092,Fatick,Foundiougne,0,,,,,,,,,,,1
2252222,Djinake,12.94667,-16.46278,Ziguinchor,Bignona,0,,,,,,,,,,,1
2252223,Djinakh,15.36667,-16.55,Louga,Kebemer,0,,,,,,,,,,,1
13658811,Djinal,13.02721,-16.17565,Ziguinchor,Bignona,0,,,,,,,,,,,1
2252221,Djinani I,13.23333,-15.73333,Sedhiou,Bounkiling,0,,,,,,1,,,,,1
2252220,Djinani II,13.21667,-15.56667,Sedhiou,Bounkiling,0,,,,,,2,,,,,1
2252219,Djindé,12.76667,-15.56667,Sedhiou,Sedhiou,0,,,,,,,,,,,1
2252218,Djinimine,12.96611,-16.575,Ziguinchor,Bignona,0,,,,,,,,,,,1
