geonameid,name,asciiname,lat,lon,feature_code,admin1_code,admin2_code,population,lang_guess,name_root,name_dupe_count
2250866,Kandio Kamako,Kandio Kamako,12.78139,-15.1125,PPL,11,,0,,,1
2250865,Kandion,Kandion,12.68333,-14.5,PPL,11,,0,,,1
2250864,Kandion Dansokounda,Kandion Dansokounda,13.16667,-15.78333,PPL,18,,0,,,1
2250863,Kandion Mangana,Kandion Mangana,13.18333,-15.78333,PPL,18,,0,,,1
2250862,Kandiou,Kandiou,12.71778,-16.35222,PPL,12,,0,,,1
13508567,Kandiou Deux,KandiouDeux,14.37443,-16.38377,PPL,09,7670866,0,,,1
2250861,Kandiou Un,KandiouUn,14.3722,-16.40384,PPL,09,,0,,,1
13658800,Kandioubatou,Kandioubatou,13.05593,-16.04139,PPL,12,2253903,0,,,1
2250859,Kandiounkou,Kandiounkou,13.00083,-15.64806,PPL,18,,0,,,2
2250860,Kandiounkou,Kandiounkou,13.0,-15.48333,PPL,18,,0,,,2
2250869,Kandiénoug,Kandienoug,12.61389,-15.35417,PPL,18,,0,,,1
2250857,Kandji,Kandji,14.78333,-16.66667,PPL,07,,0,,,1
2250855,Kandji Tala,Kandji Tala,12.98333,-13.75,PPL,11,,0,,,1
2250854,Kandong,Kandong,13.10891,-16.15826,PPL,12,,0,,,1
2250853,Kandoniéma,Kandoniema,14.09052,-12.74044,PPL,05,,0,,,1
2250852,Kandounié,Kandounie,12.95361,-16.10472,PPL,12,,0,,,1
2250887,Kandé,Kande,12.65472,-16.69056,PPL,12,,0,,,2
2250888,Kandé,Kande,12.56667,-16.25,PPL,12,,0,,,2
2250885,Kandékounda,Kandekounda,13.56667,-14.05,PPL,05,,0,,,1
2250884,Kandéri Niana,Kanderi Niana,13.75,-13.63333,PPL,05,,0,,,1
13506999,Kane Kane,KaneKane,14.74892,-16.28321,PPL,03,2252312,0,,,2
13507056,Kane Kane,KaneKane,14.72609,-16.27189,PPL,03,2252312,0,,,2
2250849,Kanel,Kanel,15.4916,-13.17627,PPL,15,,15244,,,2
2250850,Kanel,Kanel,13.3,-14.58333,PPL,11,,0,,,2
2250840,Kaner,Kaner,14.86667,-14.51667,PPL,13,,0,,,1
2250839,Kangal,Kangal,15.93333,-13.71667,PPL,15,,0,,,1
13505493,Kangharlo,Kangharlo,14.97799,-16.38946,PPL,03,2254315,0,,,1
2250838,Kangian,Kangian,15.1,-16.43333,PPL,07,,0,,,1
2250837,Kangodi,Kangodi,13.01667,-15.83333,PPL,18,,0,,,1
2250818,Kanhanbé,Kanhanbe,14.23459,-12.65595,PPL,05,,0,,,1
2250836,Kanho,Kanho,12.62083,-16.73083,PPL,12,,0,,,1
2595973,Kaniak,Kaniak,14.87172,-17.16096,PPL,07,,0,,,1
2250835,Kaniaka,Kaniaka,12.5975,-16.02,PPL,12,,0,,,1
2250834,Kaniako,Kaniako,12.73333,-14.71667,PPL,11,,0,,,1
2250832,Kanianbali,Kanianbali,12.95,-11.8,PPL,17,,0,,,1
2250830,Kanibo,Kanibo,12.95333,-16.56139,PPL,12,,0,,,1
2250828,Kaniko,Kaniko,12.47389,-15.665,PPL,18,,0,,,1
2250827,Kanikoro,Kanikoro,12.76667,-14.48333,PPL,11,,0,,,1
6659070,Kanimoussaya,Kanimoussaya,12.78386,-11.39979,PPL,05,,0,,,1
2250829,Kaniène,Kaniene,16.04333,-16.12556,PPL,14,,0,,,1
2250825,Kanka,Kanka,14.79932,-15.96688,PPL,03,,0,,,2
2250826,Kanka,Kanka,14.12773,-15.66106,PPL,16,,0,,,2
2250824,Kankandé,Kankande,13.01667,-15.93333,PPL,12,,0,,,1
2250823,Kankane,Kankane,14.7,-16.25,PPL,03,,0,,,1
2250821,Kankoudron,Kankoudron,12.785,-15.08389,PPL,11,,0,,,1
2250819,Kankoulountou,Kankoulountou,13.01667,-15.66667,PPL,18,,0,,,1
2250820,Kankoulérou,Kankoulerou,12.96667,-15.95,PPL,11,,0,,,1
2250822,Kankéléfa,Kankelefa,12.83333,-14.13333,PPL,11,,0,,,1
2250817,Kanouma,Kanouma,13.63333,-14.71667,PPL,05,,0,,,1
2250846,Kanouméring,Kanoumering,12.8846,-12.1776,PPL,17,,0,,,1
2250815,Kansata,Kansata,13.06667,-14.01667,PPL,11,,0,,,1
2250814,Kansola,Kansola,12.99781,-16.55114,PPL,12,,0,,,2
2593155,Kansola,Kansola,13.00111,-16.55111,PPL,09,,0,,,2
13554090,Kanta,Kanta,14.38916,-15.08554,PPL,16,10778871,0,,,1
2250813,Kantar,Kantar,13.8,-14.75,PPL,16,,0,,,1
2250812,Kantaré,Kantare,15.1973,-16.2611,PPL,13,,0,,,1
2250811,Kantayène,Kantayene,15.65,-16.1,PPL,13,,0,,,1
2250810,Kantiakh,Kantiakh,15.26667,-16.26667,PPL,13,,0,,,1
2250809,Kantor,Kantor,13.65,-15.73333,PPL,10,,0,,,1
2249718,Kantor Ndabri,KantorNdabri,14.73571,-15.88328,PPL,03,,0,,,1
13658774,Kantéli,Kanteli,13.13422,-16.14235,PPL,12,2253903,0,,,1
13658777,Kantépor,Kantepor,13.11264,-16.09305,PPL,12,2253903,0,,,3
13658794,Kantépor,Kantepor,13.09645,-16.12543,PPL,12,2253903,0,,,3
13658816,Kantépor,Kantepor,13.04383,-16.11168,PPL,12,2253903,0,,,3
2250844,Kanène,Kanene,15.4,-16.48333,PPL,13,,0,,,5
2250845,Kanène,Kanene,14.87175,-16.64944,PPL,07,,0,,,5
13505518,Kanène,Kanene,14.86487,-16.23381,PPL,03,2252312,0,,,5
13505587,Kanène,Kanene,14.94906,-16.09896,PPL,03,2252312,0,,,5
13554029,Kanène,Kanene,14.42754,-15.82256,PPL,09,2251492,0,,,5
2250843,Kanène Al,Kanene Al,15.5,-16.01667,PPL,13,,0,,,1
